vesselId,gfwName,gfwTonnage,mofStatus,mofNameKor,mofTonnage,mofPossibleMisclassification,tacPathA_status,tacPathA_name,tacPathA_numberStatus,tacPathB_status,tacPathB_name,tacPathB_numberStatus
0096578ca-ab1a-9bb2-3823-ce0d4dafb1b7,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
009b55a3a-a699-0691-f5cc-b8d9698ada3a,315MYEONG CHEON,,name_fuzzy_below_threshold,평진2호,17.0,True,not_attempted_no_mof_match,,,name_fuzzy_non_mutual,명천호,one_side_missing
00a29009b-b0b2-38ef-c591-82614f9bce00,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
00a6cc3d2-2bee-8d7f-4d74-0b6b09c15df1,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
00ad0b6e7-71a6-89ee-db90-fdd97be0096c,POINT,,name_fuzzy_below_threshold,POINTIS,47791.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
00b02c718-86a6-3eb6-87d4-0682326bf07e,CT3-4412-6 50%,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
00b7ee399-93ce-562a-59c7-db08bade73bf,MYEONG SEUNG HO,,name_fuzzy_below_threshold,세경 14,490.0,True,not_attempted_no_mof_match,,,name_fuzzy_non_mutual,77명성,one_side_missing
00bf5a5d5-53fb-8e9e-3c2c-c01f37b0d2ee,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
00c080c97-77d6-b1ae-dc70-7a964ff7f7e5,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
00c13b901-168f-e746-cf9a-8b798d86789e,KUYNG SUNG,,name_fuzzy_below_threshold,진영호,14.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
00c6656d5-54e5-4dc6-d87c-74dc4aa3043c,,,callsign_exact,아라2호,14.0,True,name_fuzzy_below_threshold,,,name_fuzzy_below_threshold,,
00c934c74-4a91-1630-6300-4f3601d64997,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
00cdca7bc-c1b2-ce7a-e6fc-e785e9c3b4b2,JEON NAM 103 HO,,name_fuzzy_below_threshold,동아203호,810.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
00cee8f48-82c6-d44e-69bf-723ca708ce7e,153KANG YEONG HO,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
00d445dc5-55c0-cbdc-847d-8c13f2ff0837,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
00ea25a46-6f5c-5230-80d6-0f358ee14c44,CT3-4412-7 40%,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
00f09428f-fe2a-37c0-dfc2-faeeed5665a6,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
00f6b62bc-cdd4-d712-b40b-b04faef8fcd5,SIN SEONG HO,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
00fce9635-57d6-0cfe-1140-997031b102a4,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
0101a1436-6911-db98-df8f-0cb0d0db0e90,108 SU GWANG HO,,name_fuzzy_below_threshold,니레,10483.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0103f536c-c902-707a-53bb-5303abffe87f,,,callsign_exact,105현성호,7.31,True,name_fuzzy_mutual,현성호,one_side_missing,name_fuzzy_below_threshold,,
010504ff2-22bb-55ac-2992-e492908560d1,1CHUN SA,,name_fuzzy_below_threshold,306조양호,237.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
010624e4e-ebbc-3265-ba1a-cfbe72e4addf,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
010804cc9-914e-79ae-7537-a6563ab8ec32,SUN RED HO,,name_fuzzy_below_threshold,삼성티시비2호,40087.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
010d0252b-b1d0-34d4-692b-f3b644c26106,,,callsign_exact,준설선p-1호,1080.0,True,name_fuzzy_below_threshold,,,name_fuzzy_below_threshold,,
011a67807-7844-683b-dcca-a803b2fa585a,206 BO MYUNG,,name_fuzzy_below_threshold,니레,10483.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
011a955ff-fd78-ab7c-3736-d74024b269cb,BANG JU HO,,name_fuzzy_below_threshold,VINTAGE 08,7.9,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
011ed38bd-d2cb-6cc6-03b0-f68555bc7743,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
012e57567-7802-5519-1697-b046672e339f,DEOG YANG HO,,name_fuzzy_below_threshold,제105대경호,44.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
01300b1d8-84c0-1b32-e5bc-3d10db29de44,2023 WOORAMHO,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
013447131-1097-e74c-3e67-a9fe32d2bbe9,N07 DAE YANG,,name_fuzzy_below_threshold,유창15,850.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
013e62a62-2ca1-ffc9-f954-adfd0a5a168e,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
01453ff5b-b686-4f93-4402-32b416d591e0,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
0148cbef4-4e4d-28b2-13a0-23e223252d22,31YUNO,,name_fuzzy_below_threshold,니레,10483.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
015643144-4faf-bfbf-b911-25ea7c4bdd06,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
015894390-06a3-8e0e-d53c-e4af3103ca46,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
01590b819-9f05-6c58-d745-3ed5b81feda7,,,name_fuzzy,청해1호,334.0,True,name_fuzzy_mutual,청해호,one_side_missing,name_fuzzy_non_mutual,청해호,one_side_missing
015b1a8f8-83af-04fe-8942-6268c5e0e2fa,303WOOJIN,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
016a7b6f4-4045-e6b4-a8a6-b5c1c5fede67,DAEYANGHO,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_non_mutual,대양호,none
0173c2957-77cc-70ff-dad5-b3d2e520642f,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
0177ce63a-aa77-8e42-027d-cc3a1f7a4f9c,201NAM YANG,,name_fuzzy_below_threshold,파라이드스,10489.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0184f30b1-1581-a0d5-e5a4-4049eb116ee2,DAE HUNG HO,,name_fuzzy_below_threshold,DAE YANG,99.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0186360d7-782c-e185-ce54-c62e4f2c3c27,BU CHANG HO,,name_fuzzy_below_threshold,제1혜민,798.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
01867ab3c-c529-54c7-2df3-721bb1a56791,YEOUNG SUNG HO,,name_fuzzy_below_threshold,경향 5,142.0,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
018d034d7-77ae-8a5c-f598-635a1c1ad787,,,name_fuzzy,미래호,17656.0,True,name_fuzzy_mutual,제38미래호,one_side_missing,name_fuzzy_below_threshold,,
01a738b27-7256-ee08-0fb4-30940ea3d7fa,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
01b60a22f-f549-a405-b149-be700510264e,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
01b949bf2-20e0-9b98-18b3-319f79912229,,,name_fuzzy,바다호,7.93,True,name_fuzzy_mutual,바다호,none,name_fuzzy_non_mutual,바다호,none
01bd4bca1-12ca-b878-1213-7e08f07835a1,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
01bd6c5d5-589c-7226-7e8f-4b19a00e3f6d,7 OH BOK,,name_fuzzy_below_threshold,807신흥호,2211.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
01c4525ee-e0ef-aa0a-6676-c71fe3543d38,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
01d881d2a-a3bf-49ae-9d2a-b1da77909346,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
01d982b1b-b1c9-d17d-6c85-2f852a28be03,SIN JIN HO,,name_fuzzy_below_threshold,성신6001호,999.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
01dbaa255-5853-067f-4139-8ba5820d3a3b,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
01dcf9035-52c2-1142-1551-d5cd4c71ae5f,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
01f124a9b-bec8-9e4b-3e6c-940789278d0a,GEONYANGHO,,name_fuzzy_below_threshold,현성피 2호,715.0,True,not_attempted_no_mof_match,,,name_fuzzy_mutual,건양호,none
01fa2b535-5d55-59ea-536e-aca787a01f41,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
0200d2ec6-6e1e-772e-a8eb-f37f4abf6088,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
0218ca369-976c-8b0b-ebcf-780b1d8dbbbb,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
021e22f85-5526-eb06-59d0-dba3cd3faaa4,NEW SIN HEUNG,,name_fuzzy_below_threshold,SHIN KWANG B- 6,678.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
023d9d09c-c712-bcb4-b617-3aa7be64adc1,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
023ef86a7-77fc-cb7b-435e-a40744cedfa2,,,name_fuzzy,test,1000.0,True,unmatched,,,name_fuzzy_below_threshold,,
023f10af8-87b3-364c-afa3-a1495d8388f4,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
0242bcabd-d357-54f9-ae05-d6cb8344b5f6,DONG BAEK HO,,name_fuzzy_below_threshold,YU JONG 2,1000.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0248674c6-6e11-97df-f5bf-878d67e1520e,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
0256d3c0d-d1d8-0d52-465d-f48e46dd73e9,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
025d32de4-4473-2641-8b15-a3fe4aff6c75,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
026125e2e-eb55-89fa-508e-81b60d436c1a,MIN SEUNG,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0263042d2-27bd-72b5-7dd3-d85765872cb1,HAEJU,,name_fuzzy_below_threshold,서해801호,351.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0269c7b7e-e4a7-ed3f-dfe9-da9f6563a7b9,SEA 7@,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
027267699-9c24-aac4-8041-bfca1f3631e7,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
0277223dc-cf95-84c0-e590-e98fce81c1ae,NEW SEGYERO2,,name_fuzzy_below_threshold,협성에이치비-1호,164.48,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0277ced93-300c-e937-b258-09f3a3289dd7,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
02784fa32-2551-d3f4-aff7-78ae2ded1e29,SUNG DUK,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0279841dd-dc6e-6f4c-4e6e-29198fee655f,,,name_fuzzy,우준,4688.0,True,name_fuzzy_below_threshold,,,name_fuzzy_below_threshold,,
028352b52-235f-2caa-f887-141035e26644,DAE YOUNG HO,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
02849b458-86bd-fbe8-dc90-bf7744247240,HYEON DAE 7HO,,name_fuzzy_below_threshold,파라이드스,10489.0,True,not_attempted_no_mof_match,,,name_fuzzy_non_mutual,2022 현대,mismatch
0284a71b8-81f2-4e02-1eed-7a3e38731556,JE IL 5 HO,,name_fuzzy_below_threshold,HAN IL,393.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0289de9fb-bb49-186f-b942-dddc48f3a38b,MANPYEONGHO,,name_fuzzy_below_threshold,대명호,96.0,True,not_attempted_no_mof_match,,,name_fuzzy_mutual,제808만평호,one_side_missing
02950ab91-14ba-1d48-8050-ea2ff517070a,26 NAM GANG HO,,name_fuzzy_below_threshold,206남양호,13.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0298c162f-fcb5-7cda-6e9a-01d785956141,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
0299eadd1-1b18-8930-0c59-3b43f08705f7,MUNSUNGHO,,name_fuzzy_below_threshold,QINGHE,30046.0,True,not_attempted_no_mof_match,,,name_fuzzy_mutual,문승호,none
02a399375-5152-d961-328a-54b525573553,2MOON SEONG HO@,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
02b68888d-d5df-6015-ff7f-32505d1a788b,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
02bc49da8-8eb0-83c0-3ef9-aa79267b511e,HAE YEONG HO,,name_fuzzy_below_threshold,HAENG BOX HO,287.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
02bde1fed-d7f7-2057-59e8-514892dd3bf4,77SUNGHAIHO,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
02c38a0c5-5510-b1d2-e756-f3b86f17f583,308JANGYEONG,,name_fuzzy_below_threshold,KANG SHUN 88,5145.0,True,not_attempted_no_mof_match,,,name_fuzzy_non_mutual,장경호,one_side_missing
02c7eae03-3c16-0899-9030-8cd845d3c7bc,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
02ce79c17-7801-3851-81b4-7cb42494c78d,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
02e43c2c5-5873-fa07-2b09-04f15cd01ddd,,,callsign_exact,26우양호,15.0,True,name_fuzzy_mutual,우양호,one_side_missing,name_fuzzy_non_mutual,2009우정호,mismatch
02e5ad4a0-0f6b-f5bb-290b-0975d58882b0,2CHANGNAM,,name_fuzzy_below_threshold,ZHONG REN 2,9261.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
02fb22082-28bd-8ab7-3f2b-f4703991c4e7,,,name_fuzzy,피닉스,485.0,True,name_fuzzy_below_threshold,,,name_fuzzy_below_threshold,,
030e29fd0-09d4-a8aa-a19e-df75382b1e04,ILCHUUL HO,,name_fuzzy_below_threshold,니레,10483.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
031a16470-0526-e671-0556-28d67fe207ef,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
032871967-724a-0bed-9b6d-fd3888bca1f0,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
033297c88-859a-0c71-0132-b37ddebf57ad,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
033a658da-ab8a-8a7c-2556-19d61787f273,JE IL HO,,name_fuzzy_below_threshold,이스턴 타이거,3384.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
033b048ba-af1c-c3e1-9973-cbdb3e128e3a,TAE HOON HO,,name_fuzzy_below_threshold,TOSHO HO,280.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
03479e7a6-60b8-81cc-a65b-b1c72a2b2cdc,NO EUL HO,,name_fuzzy_below_threshold,7해구호,161.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
034adf763-3da9-dfa2-e036-079eba946833,2015SEONGGWANG,,name_fuzzy_below_threshold,제5해룡호,29.0,True,not_attempted_no_mof_match,,,name_fuzzy_non_mutual,선광호,one_side_missing
034c7cf1c-c3d3-60a5-bb51-1538f1d8c7e3,SEONG JIN,,name_fuzzy_below_threshold,수정1,101.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
034cc9143-360f-7120-7556-89e4ef8e3f3a,,,callsign_exact,아라2호,14.0,True,name_fuzzy_below_threshold,,,unmatched,,
034db0712-2590-e061-1916-4bf141889256,GEO JE NU RI,,name_fuzzy_below_threshold,GOLD MARINE NO.11,278.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
034dd9d18-8e2f-4961-7e04-a620a3ab13d9,,,name_fuzzy,HAN SEONG HO,65.0,True,name_fuzzy_below_threshold,,,name_fuzzy_below_threshold,,
035186f3c-c03d-7c02-032b-dbf4f00dae7c,NOW MYENG LYUN,,name_fuzzy_below_threshold,경향 5,142.0,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
035c2ed5f-fa9a-8f68-a4b9-303992e471dd,HAN JIN,,name_fuzzy_below_threshold,MING.JIN.YI3907,235.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
035ee9d41-17fd-9e71-5ad6-9887710931ce,MIN GEUN HO,,name_fuzzy_below_threshold,JASMINE C,9530.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0368b7528-8e16-1474-3ce7-bbc844e2c219,GWANG YEONG HO,,name_fuzzy_below_threshold,대진8006,411.0,True,not_attempted_no_mof_match,,,name_fuzzy_non_mutual,광영호,none
0368d51fc-c561-f385-bf6b-0614667e996d,SU SEONG HO,,name_fuzzy_below_threshold,LURONGYU 6325,254.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
03696836e-e21f-f1bd-2108-9cce34aff14b,SIN SUN HO,,name_fuzzy_below_threshold,qing guan 2,103.0,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
036d3eae7-7b74-8f4c-579d-e071eca008e2,303GEUM SEONG,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_non_mutual,금성호,one_side_missing
03799be53-39e0-89d8-b56b-8aa4b0ab632b,DONG GWANG HO,,name_fuzzy_below_threshold,302창남,85.0,False,not_attempted_no_mof_match,,,name_fuzzy_non_mutual,동광호,none
0379b1ace-e425-e794-d3b6-41d8ea0c1bed,3JE DONG HO,,name_fuzzy_below_threshold,NAMI ONE,33286.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
037b8b2d3-3d84-a17f-acb9-f2707f78eeca,,,callsign_exact,아라2호,14.0,True,name_fuzzy_below_threshold,,,name_fuzzy_below_threshold,,
039509770-0f93-4ef1-c15e-f7ea9fe23abb,,,name_fuzzy,삼성호,223.0,True,name_fuzzy_mutual,삼성호,none,name_fuzzy_below_threshold,,
039b235af-f813-efaf-d48c-e55831186795,YOUNG UNG HO,,name_fuzzy_below_threshold,SERYONG B-3,2050.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
03a681ad9-9bd6-b202-1d4f-415b63f4ace2,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
03abe5a47-72ef-dae8-6b2d-4fcda01a17d9,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
03c9169cd-dbea-1323-888e-3c472564f657,1GEUM MYUNG,,name_fuzzy_below_threshold,GYPSUM CENTENNIAL,32881.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
03d90352f-f1d2-b79a-95d2-290153e1e48c,308PYEONG SAN,,name_fuzzy_below_threshold,부경FD-6,3797.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
03e75c22d-d432-2d2e-92c0-b33884ffbedc,2016YOUNG JI,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
03ef323da-a010-0d7b-bbf3-a251da2bb207,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
03f15235c-ce69-a7fc-ffc7-49d59ff946a9,72DAEDONGHO,,name_fuzzy_below_threshold,MAERSK NOTODDEN,25723.0,True,not_attempted_no_mof_match,,,name_fuzzy_mutual,대동호,one_side_missing
03f419cdf-f33d-bd5e-691f-b9ccab5c6957,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
03f6adf09-96af-c618-303c-c02d7a84b202,,,name_fuzzy,5 대양,128.0,True,name_fuzzy_below_threshold,,,name_fuzzy_below_threshold,,
0400d6044-4b57-b589-1da5-e7cdb70f87e2,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
0403d5335-500b-41b6-2575-c470bdb770b4,,,callsign_exact,HYUNDAI 109,31355.0,True,unmatched,,,name_fuzzy_below_threshold,,
040a60ea4-4b4e-48cb-d80b-26ff986a38ba,,,name_fuzzy,태광호,2543.0,True,name_fuzzy_mutual,태광호,none,name_fuzzy_below_threshold,,
040b588bd-d290-c21e-7fb5-c3263e94da87,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
0412e0ac8-8a5c-b96d-9824-a1ab757dc4dd,SU JIN HO,,name_fuzzy_below_threshold,서해15호,198.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
041bf788f-f5be-8b39-8305-d359745c3a25,25 BU GIL HO,,name_fuzzy_below_threshold,LU RONG SHUI 13,181.0,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0436bb287-7c05-51d7-c81e-8d90349fda52,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
043743cff-fb3e-383c-5e3c-1bf6d0f1cfda,YEONGOONGHO,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_mutual,영종호,none
0437f30ed-dfcc-e22a-5a4f-f7838af9b0a0,2 SEONG H,,name_fuzzy_below_threshold,LU RONG YU 1175,224.0,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
044186a28-8411-6011-7fbf-6ea3144a4e97,,,no_identifier,,,,not_attempted_no_mof_match,,,unmatched,,
044d8ca7a-a506-d892-c5d8-5e2387d2270c,,,unmatched,,,False,not_attempted_no_mof_match,,,unmatched,,
045779ee8-8d52-cfd8-8a06-15485817e3cd,101 NAM YOUN4,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
04586e7c3-37ff-f5d0-edc3-7f09b8958f31,3 CHEONG YANG,,name_fuzzy_below_threshold,LU CHANG YU 3037,84.0,False,not_attempted_no_mof_match,,,name_fuzzy_non_mutual,청양호,one_side_missing
045c19237-7eee-dac8-5a61-600887562992,DONGWON-HO,,name_fuzzy_below_threshold,TOSHO HO,280.0,True,not_attempted_no_mof_match,,,name_fuzzy_non_mutual,동원호,none
045db2976-695f-a219-9103-433920275f6c,DONG IK,,name_fuzzy_below_threshold,니레,10483.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
046abef02-2488-4672-eda1-0c8137f71e42,NEW ORION HO@,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
046ed0e70-07da-9861-1f2c-fd8057c78065,YU SEONG HO,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
04735f4f6-6fee-307e-e97d-71ca09912e5e,,,name_fuzzy,태양호,248.0,True,name_fuzzy_mutual,태양호,none,name_fuzzy_below_threshold,,
0473ada70-0858-ed5b-3c9d-0181aa3c1910,301 MAN GANG HO,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0478eef18-8285-cbad-35a8-883317fa288d,SIN HEUNG,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
047a41ea8-85f2-b742-b819-30513d72a4ce,,,imo_exact,싸왓디 발틱,18051.0,True,name_fuzzy_below_threshold,,,name_fuzzy_below_threshold,,
04803d728-8a10-2f4a-b6f4-451185205331,501 TAE GWANG HO,,name_fuzzy_below_threshold,ZO KWANG,1000.0,True,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
0483755a1-1f5a-2585-232c-66a52f1fafb0,CT3-4412-23 50%,,unmatched,,,False,not_attempted_no_mof_match,,,name_fuzzy_below_threshold,,
